algorithm,dataType,n,timeMs,comparisons
merge_lcp,random,900,1.1675,17946
quick3way,random,900,0.360875,10136
msd_radix,random,900,2.45329,0
msd_radix_qs,random,900,0.230584,3087
std_sort,reverse,900,0.167334,3654
stable_sort,reverse,900,0.62,8813
merge_lcp,reverse,900,0.83625,11143
quick3way,reverse,900,1.18437,37606
msd_radix,reverse,900,1.40696,0
msd_radix_qs,reverse,900,0.29575,5917
std_sort,almost,900,0.333542,6962
stable_sort,almost,900,0.508041,7092
merge_lcp,almost,900,0.933709,13623
quick3way,almost,900,0.77775,23765
msd_radix,almost,900,1.35671,0
msd_radix_qs,almost,900,0.238292,3680
std_sort,random,1000,0.900917,15160
stable_sort,random,1000,0.920334,11976
merge_lcp,random,1000,1.31108,20191
quick3way,random,1000,0.374167,10207
msd_radix,random,1000,1.63121,0
msd_radix_qs,random,1000,0.25675,3662
std_sort,reverse,1000,0.189917,4073
stable_sort,reverse,1000,0.717208,10482
merge_lcp,reverse,1000,1.14775,12265
quick3way,reverse,1000,1.40233,43507
msd_radix,reverse,1000,1.42983,0
msd_radix_qs,reverse,1000,0.352125,7341
std_sort,almost,1000,0.337875,6745
stable_sort,almost,1000,0.530959,7256
merge_lcp,almost,1000,1.01713,14274
quick3way,almost,1000,0.948083,28859
msd_radix,almost,1000,1.62862,0
msd_radix_qs,almost,1000,0.272042,4340
std_sort,random,1100,0.991667,16783
stable_sort,random,1100,1.00038,13228
merge_lcp,random,1100,1.47988,22831
quick3way,random,1100,0.423959,11568
msd_radix,random,1100,1.71079,0
msd_radix_qs,random,1100,0.285167,4050
std_sort,reverse,1100,0.203125,4512
stable_sort,reverse,1100,0.718625,9742
merge_lcp,reverse,1100,1.05563,14041
quick3way,reverse,1100,1.54796,48550
msd_radix,reverse,1100,1.74463,0
msd_radix_qs,reverse,1100,0.408583,8641
std_sort,almost,1100,0.348583,7280
stable_sort,almost,1100,0.67675,9068
merge_lcp,almost,1100,1.15987,16602
quick3way,almost,1100,1.04787,31664
msd_radix,almost,1100,1.60917,0
msd_radix_qs,almost,1100,0.332125,5014
std_sort,random,1200,1.11708,19039
stable_sort,random,1200,1.102,14522
merge_lcp,random,1200,1.6375,25332
quick3way,random,1200,0.516416,14420
msd_radix,random,1200,1.81137,0
msd_radix_qs,random,1200,0.324459,4909
std_sort,reverse,1200,0.246917,4949
stable_sort,reverse,1200,0.782458,9465
merge_lcp,reverse,1200,1.26883,15897
quick3way,reverse,1200,1.80633,52582
msd_radix,reverse,1200,2.16829,0
msd_radix_qs,reverse,1200,0.49425,9857
std_sort,almost,1200,0.379458,8053
stable_sort,almost,1200,0.77275,10294
merge_lcp,almost,1200,1.26167,17909
quick3way,almost,1200,1.19525,36599
msd_radix,almost,1200,1.94167,0
msd_radix_qs,almost,1200,0.3675,5716
std_sort,random,1300,1.29025,20455
stable_sort,random,1300,1.28975,16071
merge_lcp,random,1300,1.79438,27904
quick3way,random,1300,0.560542,15734
msd_radix,random,1300,2.10483,0
msd_radix_qs,random,1300,0.35375,5375
std_sort,reverse,1300,0.24275,5364
stable_sort,reverse,1300,0.79525,10493
merge_lcp,reverse,1300,1.27721,17565
quick3way,reverse,1300,1.77725,56146
msd_radix,reverse,1300,2.04808,0
msd_radix_qs,reverse,1300,0.515375,11375
std_sort,almost,1300,0.446833,9443
stable_sort,almost,1300,0.856083,11582
merge_lcp,almost,1300,1.39517,20101
quick3way,almost,1300,1.31042,39910
msd_radix,almost,1300,2.115,0
msd_radix_qs,almost,1300,0.380333,6492
std_sort,random,1400,1.31038,22948
stable_sort,random,1400,1.31021,17619
merge_lcp,random,1400,2.00771,30508
quick3way,random,1400,0.61625,15687
msd_radix,random,1400,2.4755,0
msd_radix_qs,random,1400,0.40975,5778
std_sort,reverse,1400,0.262792,5770
stable_sort,reverse,1400,0.859084,11446
merge_lcp,reverse,1400,1.41546,19154
quick3way,reverse,1400,2.13521,63056
msd_radix,reverse,1400,2.38921,0
msd_radix_qs,reverse,1400,0.582917,13215
std_sort,almost,1400,0.469125,9967
stable_sort,almost,1400,0.924458,12697
merge_lcp,almost,1400,1.51092,22027
quick3way,almost,1400,1.45396,44618
msd_radix,almost,1400,2.29729,0
msd_radix_qs,almost,1400,0.413084,7167
std_sort,random,1500,1.43596,25021
stable_sort,random,1500,3.75796,19172
merge_lcp,random,1500,6.55571,33149
quick3way,random,1500,0.648167,16597
msd_radix,random,1500,2.38579,0
msd_radix_qs,random,1500,0.449958,6295
std_sort,reverse,1500,0.289833,6187
stable_sort,reverse,1500,0.919875,12292
merge_lcp,reverse,1500,1.49617,20580
quick3way,reverse,1500,2.07721,65962
msd_radix,reverse,1500,2.52679,0
msd_radix_qs,reverse,1500,0.701958,14919
std_sort,almost,1500,1.59312,11429
stable_sort,almost,1500,3.37642,13982
merge_lcp,almost,1500,4.75021,24220
quick3way,almost,1500,1.5645,44372
msd_radix,almost,1500,2.77392,0
msd_radix_qs,almost,1500,0.459959,8049
std_sort,random,1600,1.53687,26867
stable_sort,random,1600,1.52192,20748
merge_lcp,random,1600,3.26158,35787
quick3way,random,1600,2.46571,19190
msd_radix,random,1600,5.60054,0
msd_radix_qs,random,1600,0.483833,6978
std_sort,reverse,1600,0.307459,6624
stable_sort,reverse,1600,0.998542,13431
merge_lcp,reverse,1600,1.61283,22076
quick3way,reverse,1600,2.32083,73407
msd_radix,reverse,1600,2.66204,0
msd_radix_qs,reverse,1600,0.723041,16777
std_sort,almost,1600,1.1515,10505
stable_sort,almost,1600,2.41012,13774
merge_lcp,almost,1600,1.70996,23667
quick3way,almost,1600,1.77212,54157
msd_radix,almost,1600,2.6305,0
msd_radix_qs,almost,1600,0.490333,8775
std_sort,random,1700,1.66187,29545
stable_sort,random,1700,1.75571,22297
merge_lcp,random,1700,2.62625,38373
quick3way,random,1700,0.733542,19536
msd_radix,random,1700,2.93758,0
msd_radix_qs,random,1700,0.481542,7590
std_sort,reverse,1700,0.323417,7094
stable_sort,reverse,1700,1.08083,14913
merge_lcp,reverse,1700,1.72063,23784
quick3way,reverse,1700,2.52433,77432
msd_radix,reverse,1700,3.08038,0
msd_radix_qs,reverse,1700,0.785084,18345
std_sort,almost,1700,0.579292,12513
stable_sort,almost,1700,1.09271,15266
merge_lcp,almost,1700,1.8885,26760
quick3way,almost,1700,1.90671,58318
msd_radix,almost,1700,2.86346,0
msd_radix_qs,almost,1700,0.529583,9572
std_sort,random,1800,1.75542,31749
stable_sort,random,1800,1.73683,24032
